method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,B,1.7192747806008017e-06,1.7192747806008017e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,alpha,-7.534317940780129e-08,7.534317940780129e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,beta,3.7109462328440853e-07,3.7109462328440853e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,E,1.0993239192068423e-07,1.0993239192068423e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,A,3.2449437712534205e-08,3.2449437712534205e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,B,8.441491849334667e-07,8.441491849334667e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,alpha,7.14621172694679e-09,7.14621172694679e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,beta,1.7509208368896419e-07,1.7509208368896419e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,E,-1.512372081612427e-08,1.512372081612427e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,A,-1.1376306720803125e-08,1.1376306720803125e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,B,-9.131913924823349e-08,9.131913924823349e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,alpha,-2.5958483728562868e-09,2.5958483728562868e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,beta,-1.920001855916707e-08,1.920001855916707e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,E,3.2154555152608185e-08,3.2154555152608185e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,A,2.951834542326701e-07,2.951834542326701e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,B,-5.4094962743457054e-08,5.4094962743457054e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,alpha,5.625369451302182e-08,5.625369451302182e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,beta,-5.746335946759423e-09,5.746335946759423e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,E,1.0821061338239988e-10,1.0821061338239988e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,A,-1.8951069934672436e-10,1.8951069934672436e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,B,9.578953435445974e-10,9.578953435445974e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,alpha,-4.4131365228849966e-11,4.4131365228849966e-11,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,beta,2.0116844697984753e-10,2.0116844697984753e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,E,9.371044374409438e-09,9.371044374409438e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,A,7.79249700636991e-08,7.79249700636991e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,B,-2.0289114435272934e-08,2.0289114435272934e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,alpha,1.7276000891291016e-08,1.7276000891291016e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,beta,-2.7172113765366083e-09,2.7172113765366083e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,E,-3.8778973457765085e-10,3.8778973457765085e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,A,5.019201152688365e-09,5.019201152688365e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,B,-1.2691182520393385e-08,1.2691182520393385e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,alpha,1.4115832685741438e-09,1.4115832685741438e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,beta,-2.5810108019084862e-09,2.5810108019084862e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,E,1.218354805603441e-10,1.218354805603441e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,A,1.6903364097757504e-10,1.6903364097757504e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,B,9.317780970409831e-10,9.317780970409831e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,alpha,3.1674009820188286e-11,3.1674009820188286e-11,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,beta,1.9456658506555868e-10,1.9456658506555868e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,E,-1.3065183386192958e-07,1.3065183386192958e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,A,-8.012441174235313e-07,8.012441174235313e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,B,-2.112703791638087e-07,2.112703791638087e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,alpha,-1.6797431093121752e-07,1.6797431093121752e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,beta,-4.762741788257228e-08,4.762741788257228e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,E,2.4090972477920627e-08,2.4090972477920627e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,A,5.439579495497866e-08,5.439579495497866e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,B,7.70247840835581e-08,7.70247840835581e-08,False
