method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,E,-8.720552104235633e-06,8.720552104235633e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,A,-4.3958793798388466e-05,4.3958793798388466e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,B,-7.555021036663293e-05,7.555021036663293e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,alpha,-8.013985308696903e-06,8.013985308696903e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,beta,-1.4554648974136288e-05,1.4554648974136288e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,E,-8.19582666033794e-08,8.19582666033794e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,A,-9.87608874820616e-07,9.87608874820616e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,B,-1.988753305099714e-07,1.988753305099714e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,alpha,-1.9003632001357573e-07,1.9003632001357573e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,beta,-3.491883369756619e-08,3.491883369756619e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,E,7.123103159251756e-07,7.123103159251756e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,A,2.3914108992263804e-05,2.3914108992263804e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,B,-1.7900215350177416e-05,1.7900215350177416e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,alpha,4.940246267626235e-06,4.940246267626235e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,beta,-3.7428155019725287e-06,3.7428155019725287e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,E,8.009519149170541e-07,8.009519149170541e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,A,5.72100190493343e-06,5.72100190493343e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,B,4.10472670749206e-06,4.10472670749206e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,alpha,1.0955374026256447e-06,1.0955374026256447e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,beta,7.988425397366581e-07,7.988425397366581e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,E,-2.1718876532873528e-07,2.1718876532873528e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,A,-4.487666231623764e-08,4.487666231623764e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,B,-2.547324253974953e-06,2.547324253974953e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,alpha,1.0197806651411703e-08,1.0197806651411703e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,beta,-5.143373623831389e-07,5.143373623831389e-07,False
