source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,84097174956.4,1981834309.5719285,1e+21,0.73897261768
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,103479163112.0,1610630214.3773243,1e+21,0.74174782029
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,112886458772.0,1476409734.8760676,1e+21,0.743426092056
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,156595725222.0,1064311726.4560668,1e+21,0.751629319309
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,185250503025.0,899682667.2269527,1e+21,0.756270405582
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,68118567606.3,7340142600.910432,3e+21,0.713023003066
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,100343399470.0,4982888786.317098,3e+21,0.711289470854
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,106864365724.0,4678828125.844648,3e+21,0.712540713369
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,117475387384.0,4256210693.441811,3e+21,0.711809881836
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,127743085504.0,3914106176.6849494,3e+21,0.712296277908
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,147626533422.0,3386925022.2838845,3e+21,0.713380305629
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,99464287709.7,16756432937.32781,1e+22,0.703730404291
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,116870729279.0,14260770656.165854,1e+22,0.697643230996
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,147827908765.0,11274370858.591688,1e+22,0.695534931367
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,221742772154.0,7516216427.154475,1e+22,0.693574883903
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,391589392224.0,4256158873.969924,1e+22,0.696344091329
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,1034815724400.0,1610592714.59469,1e+22,0.71905374281
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,1579500858.99,633111399.9136679,6e+18,2.508897482921113
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,1842753880.19,542666066.668053,6e+18,2.4888370190292446
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,2384069053.89,419450937.6179083,6e+18,2.4820282008963432
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,2648968442.53,377505440.9651295,6e+18,2.4709335916048434
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,2980093045.04,335559992.55270827,6e+18,2.4619144780404367
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,3272863725.19,305542816.3120195,6e+18,2.46101044827417
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,3681976073.48,271593291.2227904,6e+18,2.460739432464244
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,4155263509.83,240658624.3289567,6e+18,2.466689703874541
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,4207978404.38,237643805.1486006,6e+18,2.452317268290027
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,4986325395.81,200548484.22854596,6e+18,2.4621585066451868
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,6152495197.44,162535681.5257802,6e+18,2.4744740473677758
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,6232920815.82,160438425.1861285,6e+18,2.4612523040874716
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,7572317753.69,132059962.68615362,6e+18,2.474751576122302
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,9844039084.11,101584318.33272327,6e+18,2.4878877602285403
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,12771124333.9,78301641.56695072,6e+18,2.505295693643139
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,17029403199.8,58721963.90368774,6e+18,2.5400548770757743
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,1565884333.7,1064361288.2495157,1e+19,2.4615849722346286
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,1630126409.0,1022415597.6278442,1e+19,2.464942563241609
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,1852418768.69,899724562.7376719,1e+19,2.450861862569634
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,2144909133.1,777033693.8506399,1e+19,2.4396680806540103
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,2303447550.36,723553122.1043811,1e+19,2.4326345343416063
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,2621118758.94,635860798.3640845,1e+19,2.41824666992811
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,2632515032.84,633108128.8712108,1e+19,2.421213789610047
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,3071272335.07,542663262.9205382,1e+19,2.411663187238691
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,3311218028.36,503339451.64346164,1e+19,2.4247432059242375
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,3973468952.53,419448770.4768553,1e+19,2.413438772291106
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,4414970214.66,377503490.5405399,1e+19,2.407893734026177
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,4966847403.52,335558258.8435275,1e+19,2.4046017847941603
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,5454801058.17,305541237.6901252,1e+19,2.3934463101907797
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,6136658494.88,271591888.0050466,1e+19,2.40634002563498
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,6925474964.31,240657380.93859679,1e+19,2.4163935364468583
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,10254211642.0,162534841.76591435,1e+19,2.43315074476033
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,16406816574.6,101583793.48537941,1e+19,2.4580578308799486
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,1476196592.19,3387082741.183062,3e+19,2.4212044800512387
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,1930416159.57,2590115077.110497,3e+19,2.375385456639011
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,2392142613.79,2090176384.6254265,3e+19,2.355112979107569
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,2660794312.06,1879138112.005725,3e+19,2.3499392952008624
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,2980093045.04,1677799962.7635415,3e+19,2.33609564054265
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,3386473747.43,1476462058.4448671,3e+19,2.330618798045112
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,3613609825.1,1383657960.3227181,3e+19,2.3254514873295906
llama3,llama3,llama_3,llama_3,exp_loss,llama3__llama_3__exp_loss,4084955307.72,1224003599.390841,3e+19,2.3217919717035955
